city_id,city_name,year,tier,tier_name,population_10k,area_km2,is_coastal,is_capital,has_port,gdp_billion,gdp_per_capita_10k,gdp_per_km2,avg_wage,employment_rate,patents,n_firms,firm_entry_rate,firm_exit_rate,infrastructure_index,edu_expenditure_ratio,doctors_per_1000,disposable_income
0,城市_000,2020,2,大城市,243.89,197.6,0,0,0,212.13,8697.75,107.35,105096.8,0.931,8,6439,0.126,0.064,100.0,0.054,1.09,59056.0
1,城市_001,2020,1,中等城市,129.25,232.4,0,0,0,113.98,8818.85,49.04,51913.6,0.891,3,4457,0.128,0.044,100.0,0.061,1.44,33799.7
2,城市_002,2020,3,特大城市,283.64,353.0,0,0,0,255.22,8998.21,72.3,103411.4,0.905,10,9513,0.11,0.044,100.0,0.058,0.5,62674.5
3,城市_003,2020,3,特大城市,680.64,344.8,1,0,0,546.09,8023.21,158.37,275860.7,0.919,26,31637,0.123,0.07,100.0,0.05,1.84,179021.3
4,城市_004,2020,1,中等城市,117.43,50.0,1,0,0,110.86,9440.36,221.72,49265.0,0.888,6,6400,0.091,0.032,100.0,0.054,1.18,28475.6
5,城市_005,2020,1,中等城市,117.43,70.1,1,0,0,88.66,7549.58,126.49,45219.2,0.916,3,6566,0.097,0.032,100.0,0.049,0.74,29597.8
6,城市_006,2020,3,特大城市,719.97,224.1,1,0,1,557.61,7744.87,248.84,361313.9,0.917,53,22375,0.132,0.083,100.0,0.054,1.73,225190.6
7,城市_007,2020,3,特大城市,319.72,223.9,0,0,0,269.98,8444.36,120.6,132065.6,0.917,21,11046,0.133,0.036,100.0,0.049,1.2,81430.5
8,城市_008,2020,1,中等城市,92.81,224.1,1,0,0,92.26,9940.98,41.17,35461.3,0.885,3,2060,0.1,0.066,100.0,0.059,1.3,21525.8
9,城市_009,2020,3,特大城市,255.33,3236.3,1,0,0,255.26,9997.27,7.89,98591.6,0.898,8,7375,0.098,0.066,100.0,0.056,1.33,58419.9
10,城市_010,2020,1,中等城市,93.37,234.3,1,0,0,70.38,7537.36,30.03,35520.9,0.917,3,4588,0.103,0.03,100.0,0.062,0.5,22591.9
11,城市_011,2020,1,中等城市,93.16,368.1,0,0,1,70.19,7534.89,19.07,34633.2,0.895,2,5564,0.115,0.039,100.0,0.057,0.5,20925.8
12,城市_012,2020,2,大城市,189.04,318.4,0,0,0,153.74,8132.54,48.29,78002.1,0.94,5,4802,0.076,0.079,100.0,0.056,1.01,42198.2
13,城市_013,2020,0,小城市,21.91,249.9,0,0,0,20.49,9353.92,8.2,8278.1,0.893,0,674,0.055,0.031,100.0,0.063,1.27,4689.4
14,城市_014,2020,0,小城市,26.45,115.3,1,0,0,19.56,7394.87,16.96,8775.7,0.905,0,965,0.09,0.041,100.0,0.061,0.5,5216.5
15,城市_015,2020,1,中等城市,84.58,272.4,0,0,0,70.93,8386.23,26.04,28477.9,0.921,3,3384,0.078,0.062,100.0,0.061,0.89,17351.6
16,城市_016,2020,0,小城市,53.9,80.0,0,0,0,47.24,8764.17,59.07,17041.6,0.873,1,1555,0.091,0.067,100.0,0.062,0.83,10196.0
17,城市_017,2020,2,大城市,203.21,122.8,0,0,0,181.09,8911.21,147.47,82816.4,0.87,8,8489,0.103,0.051,100.0,0.05,2.03,52718.4
18,城市_018,2020,0,小城市,59.86,100.7,0,0,0,43.7,7300.65,43.42,20172.7,0.871,1,1910,0.093,0.04,100.0,0.063,0.91,10922.9
19,城市_019,2020,0,小城市,36.15,158.5,0,0,0,25.31,7000.14,15.97,10923.1,0.926,0,1324,0.13,0.079,100.0,0.063,1.25,6600.9
20,城市_020,2020,3,特大城市,642.68,945.5,0,0,0,614.78,9565.8,65.02,274800.3,0.907,38,27853,0.124,0.103,100.0,0.048,2.14,149892.7
21,城市_021,2020,1,中等城市,118.42,50.0,0,0,1,95.82,8091.59,191.64,55058.8,0.954,3,4364,0.109,0.073,100.0,0.057,0.5,34290.2
22,城市_022,2020,2,大城市,158.78,257.0,0,0,1,148.47,9350.88,57.78,61340.9,0.893,7,5124,0.117,0.056,100.0,0.058,1.65,36630.7
23,城市_023,2020,0,小城市,35.7,50.0,1,0,0,25.91,7256.56,51.82,13696.2,0.905,0,1270,0.078,0.035,100.0,0.059,1.17,8390.2
24,城市_024,2020,1,中等城市,86.11,101.7,0,0,0,75.7,8791.69,74.41,32491.3,0.933,2,3084,0.123,0.036,100.0,0.061,1.4,18652.7
25,城市_025,2020,2,大城市,165.82,354.7,1,0,0,137.96,8319.85,38.9,63725.5,0.945,10,5459,0.103,0.065,100.0,0.065,3.24,40681.3
26,城市_026,2020,0,小城市,46.95,156.2,0,0,0,35.17,7491.97,22.51,18375.3,0.943,0,1598,0.115,0.06,100.0,0.065,0.5,11599.5
27,城市_027,2020,2,大城市,216.09,62.7,0,0,1,138.54,6411.09,221.08,82871.2,0.93,6,12841,0.085,0.084,100.0,0.051,2.22,51173.5
28,城市_028,2020,1,中等城市,81.4,83.7,1,0,0,73.14,8985.59,87.34,31085.7,0.923,2,3543,0.071,0.065,100.0,0.062,0.99,18530.6
29,城市_029,2020,1,中等城市,110.86,255.6,0,0,0,94.38,8513.54,36.92,43184.6,0.915,3,3732,0.119,0.03,100.0,0.065,1.33,26662.0
30,城市_030,2020,1,中等城市,81.31,82.7,0,0,0,73.96,9095.37,89.38,28811.9,0.918,2,3686,0.11,0.073,100.0,0.061,1.11,16676.1
31,城市_031,2020,3,特大城市,946.03,176.5,0,0,0,616.23,6513.86,349.19,432803.0,0.915,60,31486,0.108,0.056,100.0,0.055,2.36,270790.4
32,城市_032,2020,1,中等城市,146.42,153.9,1,0,0,166.54,11373.86,108.2,55581.9,0.888,6,7658,0.087,0.046,100.0,0.068,0.96,36099.6
33,城市_033,2020,0,小城市,51.54,88.1,0,0,0,37.72,7320.02,42.81,17724.9,0.901,1,2118,0.124,0.056,100.0,0.065,1.25,11204.2
34,城市_034,2020,3,特大城市,337.83,824.8,1,0,0,361.23,10692.74,43.8,141545.3,0.906,16,12034,0.086,0.099,100.0,0.058,0.8,81829.1
35,城市_035,2020,0,小城市,43.78,246.4,0,0,0,27.54,6289.78,11.17,14765.1,0.892,1,1842,0.134,0.113,100.0,0.065,1.45,9019.1
36,城市_036,2020,2,大城市,182.89,50.0,0,0,0,170.53,9324.62,341.07,71349.4,0.919,8,4199,0.087,0.067,100.0,0.059,1.1,40041.7
37,城市_037,2020,0,小城市,20.91,172.3,0,0,0,12.17,5821.39,7.07,7298.3,0.92,0,548,0.113,0.047,100.0,0.06,0.5,4504.3
38,城市_038,2020,0,小城市,39.32,87.4,0,0,0,26.04,6622.0,29.79,15460.7,0.903,0,1011,0.095,0.062,100.0,0.058,0.84,9485.4
39,城市_039,2020,2,大城市,180.7,293.5,0,0,0,204.57,11320.58,69.69,73018.1,0.935,4,6939,0.117,0.073,100.0,0.066,1.93,39714.9
40,城市_040,2020,3,特大城市,310.59,78.7,0,0,0,270.98,8724.71,344.2,123892.6,0.886,18,19213,0.098,0.052,100.0,0.052,1.25,70017.5
41,城市_041,2020,2,大城市,176.16,135.4,0,0,0,154.21,8754.19,113.89,73067.6,0.901,6,12656,0.102,0.091,100.0,0.066,1.47,43219.9
42,城市_042,2020,1,中等城市,132.2,222.3,1,0,0,123.95,9375.99,55.76,56588.9,0.889,2,5889,0.104,0.058,100.0,0.061,0.85,33442.6
43,城市_043,2020,1,中等城市,109.83,296.7,0,0,0,95.53,8697.87,32.2,43575.4,0.866,4,4695,0.083,0.063,100.0,0.052,1.56,24564.1
44,城市_044,2020,0,小城市,33.83,56.8,0,0,0,24.78,7324.26,43.62,12114.6,0.899,0,725,0.116,0.064,100.0,0.061,1.4,7410.1
45,城市_045,2020,0,小城市,72.25,113.6,1,0,1,59.05,8172.36,51.99,24173.2,0.9,2,2258,0.092,0.06,100.0,0.049,2.04,14686.3
46,城市_046,2020,1,中等城市,93.63,101.5,0,0,0,106.67,11392.61,105.1,32367.3,0.933,3,2719,0.098,0.069,100.0,0.062,1.07,19231.7
