city_id,industry_id,industry_name,industry_type,employment,output_billion,n_firms,avg_wage,location_quotient,national_share,local_share,industry_hhi
0,0,高科技_1,high_tech,28434,0.0008,281,7228.1,1.558,0.0178,0.0278,0.05670486
0,1,高科技_2,high_tech,40100,0.0093,265,7746.0,0.453,0.0864,0.0392,0.05670486
0,2,高科技_3,high_tech,38553,0.0032,302,6309.5,1.135,0.0332,0.0376,0.05670486
0,3,高科技_4,high_tech,50268,0.0018,886,6999.4,1.293,0.0379,0.0491,0.05670486
0,4,高科技_5,high_tech,44633,0.0022,647,7062.9,0.943,0.0462,0.0436,0.05670486
0,5,传统制造_1,traditional,76950,0.0038,429,3786.6,0.899,0.0836,0.0751,0.05670486
0,6,传统制造_2,traditional,64960,0.0025,334,4235.7,2.419,0.0262,0.0634,0.05670486
0,7,传统制造_3,traditional,73113,0.0036,562,4651.9,0.963,0.0741,0.0714,0.05670486
0,8,传统制造_4,traditional,92144,0.0073,1943,4074.1,1.957,0.046,0.09,0.05670486
0,9,传统制造_5,traditional,49427,0.0036,1070,4766.1,0.634,0.0761,0.0483,0.05670486
0,10,传统制造_6,traditional,42752,0.0034,1100,4063.4,0.715,0.0584,0.0417,0.05670486
0,11,传统制造_7,traditional,76240,0.0035,1082,5001.1,1.181,0.0631,0.0744,0.05670486
0,12,传统制造_8,traditional,56149,0.0045,386,4971.3,1.106,0.0496,0.0548,0.05670486
0,13,传统制造_9,traditional,48938,0.0029,274,5154.6,2.784,0.0172,0.0478,0.05670486
0,14,传统制造_10,traditional,74847,0.0036,817,4240.1,3.165,0.0231,0.0731,0.05670486
0,15,服务产业_1,service,25384,0.0012,294,5702.4,0.821,0.0302,0.0248,0.05670486
0,16,服务产业_2,service,46937,0.0047,293,4405.5,0.506,0.0906,0.0458,0.05670486
0,17,服务产业_3,service,35221,0.0031,187,5247.9,2.355,0.0146,0.0344,0.05670486
0,18,服务产业_4,service,32178,0.0016,270,4848.7,0.656,0.0479,0.0314,0.05670486
0,19,服务产业_5,service,26933,0.0027,137,5148.6,0.337,0.0779,0.0263,0.05670486
1,0,高科技_1,high_tech,22194,0.0021,144,7234.5,2.289,0.0178,0.0408,0.05623773000000001
1,1,高科技_2,high_tech,27034,0.0031,1311,6800.2,0.575,0.0864,0.0497,0.05623773000000001
1,2,高科技_3,high_tech,19452,0.0019,166,6988.3,1.079,0.0332,0.0358,0.05623773000000001
1,3,高科技_4,high_tech,13824,0.0021,411,8533.8,0.67,0.0379,0.0254,0.05623773000000001
1,4,高科技_5,high_tech,29038,0.0029,146,6406.4,1.155,0.0462,0.0534,0.05623773000000001
1,5,传统制造_1,traditional,36845,0.0012,350,4293.7,0.81,0.0836,0.0677,0.05623773000000001
1,6,传统制造_2,traditional,40327,0.0039,243,4131.7,2.827,0.0262,0.0741,0.05623773000000001
1,7,传统制造_3,traditional,31693,0.0037,323,4328.3,0.786,0.0741,0.0583,0.05623773000000001
1,8,传统制造_4,traditional,31629,0.0025,245,3754.8,1.265,0.046,0.0581,0.05623773000000001
1,9,传统制造_5,traditional,35323,0.0041,277,4346.8,0.853,0.0761,0.0649,0.05623773000000001
1,10,传统制造_6,traditional,38263,0.0035,688,4253.1,1.205,0.0584,0.0703,0.05623773000000001
1,11,传统制造_7,traditional,36436,0.0058,494,3242.7,1.062,0.0631,0.067,0.05623773000000001
1,12,传统制造_8,traditional,27665,0.002,176,3262.3,1.026,0.0496,0.0509,0.05623773000000001
1,13,传统制造_9,traditional,45050,0.0032,265,3064.9,4.825,0.0172,0.0828,0.05623773000000001
1,14,传统制造_10,traditional,26302,0.0041,785,3340.4,2.094,0.0231,0.0483,0.05623773000000001
1,15,服务产业_1,service,16922,0.0014,195,5183.8,1.03,0.0302,0.0311,0.05623773000000001
1,16,服务产业_2,service,15732,0.0012,112,5474.7,0.319,0.0906,0.0289,0.05623773000000001
1,17,服务产业_3,service,25515,0.0032,143,5672.6,3.211,0.0146,0.0469,0.05623773000000001
1,18,服务产业_4,service,13938,0.0007,71,5862.9,0.535,0.0479,0.0256,0.05623773000000001
1,19,服务产业_5,service,10843,0.0012,342,5743.2,0.256,0.0779,0.0199,0.05623773000000001
2,0,高科技_1,high_tech,32839,0.0021,1607,6397.5,1.734,0.0178,0.0309,0.057466630000000005
2,1,高科技_2,high_tech,49448,0.0071,453,8416.8,0.538,0.0864,0.0465,0.057466630000000005
2,2,高科技_3,high_tech,41572,0.0037,211,7833.4,1.18,0.0332,0.0391,0.057466630000000005
2,3,高科技_4,high_tech,41244,0.0056,322,7005.2,1.023,0.0379,0.0388,0.057466630000000005
