firm_id,city_id,industry_id,size_class,employees,revenue_million,profit_million,profit_margin,tfp,agglomeration_spillover,export_ratio,rd_ratio,supply_chain_distance,age,city_population
0,65,17,micro,16,0.0,0.0,0.076,1.389,0.258,0.098,0.019,5.0,35,576.08
1,161,1,large,252,0.01,0.01,0.487,1.34,0.189,0.098,0.073,11.7,12,326.06
2,149,9,medium,11,0.0,0.0,0.752,1.289,0.21,0.054,0.022,57.4,55,199.73
3,128,3,micro,24,0.0,0.0,0.286,0.764,0.129,0.08,0.065,18.5,17,163.96
4,179,16,small,6,0.0,0.0,0.62,1.243,0.383,0.267,0.04,81.4,2,1808.04
5,6,19,small,49,0.0,0.0,0.257,1.043,0.189,0.05,0.025,33.5,7,719.97
6,39,18,small,15,0.0,0.0,0.516,0.763,0.163,0.099,0.031,45.8,3,180.7
7,47,10,small,35,0.0,0.0,0.11,0.754,0.21,0.117,0.015,15.2,1,427.14
8,7,10,medium,60,0.01,0.0,0.256,1.266,0.129,0.143,0.032,23.6,9,319.72
9,125,18,large,74,0.0,0.0,0.146,1.673,0.292,0.147,0.034,86.6,4,1326.71
10,53,14,large,387,0.02,0.0,0.081,1.161,0.21,0.026,0.026,214.2,8,273.6
11,113,1,small,8,0.0,0.0,0.268,1.653,0.368,0.165,0.089,36.8,3,1742.79
12,141,2,small,53,0.01,0.0,0.048,1.553,0.244,0.173,0.064,63.4,1,548.48
13,125,19,micro,6,0.0,0.0,0.181,1.361,0.258,0.14,0.031,40.5,2,1326.71
14,70,7,micro,17,0.0,0.0,0.069,1.245,0.129,0.015,0.021,35.4,7,213.02
15,96,3,small,18,0.0,0.0,0.704,0.977,0.163,0.053,0.058,88.2,28,199.56
16,76,14,micro,18,0.0,0.0,0.357,1.218,0.163,0.109,0.014,69.8,2,161.91
17,174,17,small,12,0.0,0.0,0.456,1.552,0.129,0.108,0.019,0.6,6,195.72
18,98,4,micro,20,0.0,0.0,0.876,0.766,0.21,0.184,0.055,117.8,20,149.17
19,8,5,large,574,0.05,0.01,0.243,1.371,0.163,0.067,0.02,42.0,5,92.81
20,125,17,small,5,0.0,0.0,0.127,0.642,0.282,0.238,0.035,138.4,3,1326.71
21,50,0,micro,44,0.0,0.0,0.321,0.724,0.189,0.043,0.054,8.6,2,205.22
22,75,18,small,29,0.0,0.0,0.126,0.773,0.163,0.217,0.033,83.0,21,337.61
23,73,0,medium,42,0.0,0.0,0.388,1.537,0.21,0.232,0.067,114.5,3,709.56
24,12,1,micro,6,0.0,0.0,0.187,1.482,0.129,0.066,0.066,22.7,1,189.04
25,183,17,small,8,0.0,0.0,0.425,0.639,0.189,0.015,0.026,6.9,8,240.44
26,118,4,micro,1,0.0,0.0,0.121,0.902,0.189,0.087,0.068,9.0,7,465.37
27,35,4,large,244,0.02,0.0,0.237,0.969,0.129,0.13,0.067,18.4,9,43.78
