individual_id,city_id,age_group,age,education,monthly_income,monthly_rent,commute_minutes,commute_satisfaction,wechat_contacts,friends_met_weekly,loneliness_score,job_satisfaction,housing_satisfaction,life_satisfaction,well_being_score,city_population,pop_group
0,65,46-55,50,硕士,10520.4,2470.9,12.7,7.0,57,4.7,2.9,5.6,7.2,7.6,5.4,576.08,6
1,179,26-35,30,高中及以下,5339.4,4245.6,57.9,6.2,72,4.0,7.2,8.1,4.7,7.3,4.7,1808.04,9
2,133,46-55,50,本科,6377.1,886.4,19.6,7.9,22,3.9,3.0,4.4,6.0,5.9,4.2,238.31,3
3,73,36-45,40,大专,5170.1,2152.4,37.3,8.0,37,6.9,3.5,3.5,6.1,3.1,3.1,709.56,7
4,125,26-35,30,本科,11101.0,4183.8,50.9,7.0,79,4.4,4.1,7.1,5.9,6.4,5.0,1326.71,8
5,73,18-25,22,博士,17928.2,1902.8,26.8,9.2,33,4.6,5.0,5.7,6.6,6.1,4.5,709.56,7
6,34,46-55,50,大专,5897.3,1487.8,18.5,8.6,34,6.3,3.1,2.9,7.9,6.1,4.4,337.83,5
7,0,26-35,30,硕士,13624.9,1475.3,14.7,7.2,15,6.3,3.8,3.6,6.5,4.9,3.7,243.89,3
8,156,18-25,22,高中及以下,3712.3,2639.9,37.5,8.6,44,4.0,3.8,5.3,5.1,4.5,3.7,958.89,8
9,104,46-55,50,硕士,8615.0,403.9,17.6,9.8,18,5.8,3.2,5.1,7.3,5.5,4.7,126.31,1
10,168,55+,60,大专,5101.4,1048.8,19.7,8.6,35,6.1,3.3,5.2,7.8,6.2,5.0,116.12,1
11,164,26-35,30,本科,6136.1,1054.0,20.4,8.3,44,3.7,2.3,5.4,7.3,4.0,4.4,388.92,5
12,6,36-45,40,本科,9659.0,2462.1,35.0,6.4,14,4.2,3.9,4.4,5.9,6.0,4.1,719.97,7
13,113,26-35,30,大专,4998.6,5042.4,57.7,6.7,78,0.5,6.8,5.9,3.6,5.9,3.4,1742.79,9
14,73,26-35,30,高中及以下,3328.6,1400.6,27.0,7.9,46,4.5,3.0,2.4,3.4,3.9,2.3,709.56,7
15,179,46-55,50,高中及以下,5667.3,4243.0,48.3,7.0,65,1.4,7.5,2.7,5.6,7.2,3.4,1808.04,9
16,192,18-25,22,高中及以下,4098.1,276.7,13.0,9.3,25,4.8,1.6,5.0,9.1,6.4,5.6,183.85,2
17,57,26-35,30,硕士,10807.8,1016.3,13.7,7.8,22,4.8,2.6,4.7,6.8,6.5,4.8,108.94,1
18,50,26-35,30,本科,6232.2,1479.6,16.6,7.0,30,5.0,1.3,3.7,6.7,7.1,4.8,205.22,3
19,31,55+,60,大专,10113.0,3125.3,39.8,7.3,45,3.8,4.1,5.8,6.3,7.9,5.1,946.03,7
20,179,46-55,50,高中及以下,3899.9,5715.6,60.6,6.4,73,1.8,8.1,5.4,4.6,2.7,2.5,1808.04,9
21,101,46-55,50,硕士,11072.0,716.1,13.4,8.0,5,5.3,3.7,7.0,6.7,4.5,4.7,97.45,0
22,54,55+,60,大专,7311.5,1726.8,21.1,8.8,14,4.8,4.1,4.1,8.3,6.3,4.8,416.13,5
23,70,18-25,22,本科,7226.4,1587.4,21.1,10.0,42,4.1,2.7,4.9,7.9,6.3,5.1,213.02,3
24,89,36-45,40,博士,12957.2,980.1,21.1,8.7,24,6.4,3.3,5.2,7.3,4.3,4.3,247.96,3
25,193,46-55,50,大专,5364.8,1380.4,8.4,9.4,46,6.5,1.7,4.9,6.0,4.3,4.1,42.7,0
26,179,36-45,40,高中及以下,4162.6,5582.8,46.8,5.8,107,2.5,8.0,5.4,2.7,8.2,3.5,1808.04,9
27,110,26-35,30,硕士,8642.3,1532.4,9.8,8.5,37,6.5,3.7,5.4,9.9,4.5,5.1,21.79,0
28,175,46-55,50,高中及以下,2871.6,400.5,25.1,9.1,41,6.1,4.0,5.7,7.2,4.4,4.4,339.4,5
29,56,26-35,30,大专,5078.8,1824.2,12.5,8.7,47,6.2,1.7,2.7,4.4,4.3,3.0,64.12,0
30,113,46-55,50,硕士,15071.6,5285.2,56.6,4.6,44,2.4,8.6,5.7,4.4,7.6,3.8,1742.79,9
31,161,26-35,30,硕士,16843.2,1495.7,14.7,8.9,16,4.7,1.8,4.7,8.7,5.3,5.1,326.06,4
32,39,36-45,40,硕士,9701.3,1101.3,11.1,10.0,28,5.0,1.7,6.1,9.0,6.6,6.0,180.7,2
33,113,18-25,22,本科,10423.0,5326.1,48.7,5.1,63,1.0,5.5,6.8,5.1,4.6,3.9,1742.79,9
34,75,26-35,30,大专,3230.8,805.6,16.0,9.1,64,5.2,2.2,4.8,9.5,7.5,5.9,337.61,5
35,159,36-45,40,本科,6222.7,1417.0,12.5,6.8,20,5.2,2.0,5.7,8.0,8.1,5.9,286.16,4
36,174,26-35,30,硕士,12010.4,1094.2,11.0,8.3,34,5.8,3.8,5.6,8.2,6.7,5.3,195.72,2
37,31,36-45,40,本科,7717.2,2669.7,40.5,8.9,47,4.1,5.6,7.6,7.0,6.4,5.2,946.03,7
38,164,46-55,50,大专,3489.7,1523.9,14.5,10.0,25,5.7,2.7,4.3,9.0,6.2,5.2,388.92,5
39,133,36-45,40,本科,10517.3,628.3,13.8,9.0,28,5.1,4.1,4.9,5.7,7.4,4.6,238.31,3
40,198,46-55,50,本科,5914.2,2208.5,8.2,9.8,32,5.7,2.0,4.5,8.0,4.9,4.7,157.31,1
41,80,26-35,30,高中及以下,2274.0,1089.3,15.2,8.0,32,6.4,1.7,4.4,8.2,4.3,4.6,119.14,1
