city_i,city_j,distance_km,flow_people,flow_capital_million,info_flow_index,supply_chain_strength,co_patents,gravity_score
0,1,2240.4,26,0.12,0.35,0.0,0,0.33
0,2,642.7,447,5.25,12.59,0.093,0,10.62
0,3,3071.6,75,0.56,0.5,0.0,0,1.01
0,4,2620.9,11,0.05,0.11,0.0,0,0.14
0,5,2566.7,11,0.1,0.2,0.0,0,0.15
0,6,2575.4,114,1.02,0.74,0.0,0,1.25
0,7,3370.8,30,0.46,0.13,0.0,0,0.72
0,8,2954.2,7,0.05,0.06,0.0,0,0.12
0,9,866.4,146,1.74,10.99,0.052,0,2.3
0,10,3128.1,7,0.08,0.07,0.0,0,0.15
0,11,1309.3,26,0.05,1.32,0.007,0,0.26
0,12,1840.3,14,0.21,1.05,0.001,0,0.4
0,13,3522.3,0,0.01,0.0,0.0,0,0.01
0,14,2755.2,2,0.02,0.03,0.0,0,0.03
0,15,2654.9,3,0.06,0.11,0.0,0,0.11
0,16,1196.2,13,0.16,0.92,0.01,0,0.17
0,17,1784.8,19,0.41,1.84,0.001,0,0.64
0,18,628.6,114,1.34,3.16,0.063,0,1.46
0,19,1646.7,7,0.09,0.27,0.002,0,0.11
0,20,1573.2,104,1.48,5.73,0.004,0,1.66
0,21,2584.1,29,0.12,0.13,0.0,0,0.3
0,22,1442.0,17,0.21,2.2,0.001,0,0.38
0,23,3101.2,1,0.02,0.02,0.0,0,0.04
0,24,1131.2,36,0.38,3.17,0.007,0,0.54
0,25,1229.2,147,0.88,3.21,0.009,0,1.72
0,26,3898.6,0,0.01,0.01,0.0,0,0.02
0,27,3411.3,18,0.16,0.07,0.0,0,0.25
0,28,2448.3,2,0.14,0.15,0.0,0,0.23
0,29,3465.5,3,0.03,0.03,0.0,0,0.06
0,30,1678.8,9,0.25,0.64,0.001,0,0.29
0,31,3276.1,68,1.14,0.43,0.0,0,1.42
0,32,1318.7,6,0.26,1.91,0.007,0,0.43
0,33,3230.2,1,0.02,0.03,0.0,0,0.03
0,34,1427.9,176,0.7,7.73,0.001,0,2.42
0,35,2490.0,3,0.07,0.07,0.0,0,0.11
0,36,1811.5,15,0.06,1.44,0.002,0,0.39
0,37,2340.2,3,0.04,0.07,0.0,0,0.07
0,38,562.2,45,0.85,5.74,0.052,0,1.53
0,39,3103.4,15,0.51,0.09,0.0,0,0.52
0,40,2959.1,34,0.22,0.28,0.0,0,0.38
0,41,2624.2,25,0.09,0.2,0.0,0,0.31
0,42,2097.9,13,0.13,0.32,0.001,0,0.19
0,43,2252.1,26,0.15,0.24,0.0,0,0.29
0,44,3362.7,1,0.01,0.01,0.0,0,0.02
0,45,3111.9,10,0.07,0.02,0.0,0,0.11
0,46,3597.8,3,0.03,0.01,0.0,0,0.05
0,47,3607.0,36,0.17,0.04,0.0,0,0.38
0,48,378.9,505,2.64,37.68,0.166,0,7.13
0,49,3923.4,0,0.01,0.0,0.0,0,0.02
0,50,3360.8,4,0.05,0.06,0.0,0,0.12
0,51,882.0,11,0.17,3.86,0.014,0,0.32
0,52,4174.6,2,0.01,0.01,0.0,0,0.04
0,53,3012.0,8,0.66,0.14,0.0,0,0.7
0,54,372.7,652,6.7,79.48,0.037,1,15.58
0,55,3204.9,10,0.44,0.15,0.0,0,0.55
0,56,2875.2,7,0.06,0.05,0.0,0,0.08
0,57,3120.6,12,0.04,0.06,0.0,0,0.18
0,58,1422.6,36,0.88,2.86,0.007,0,1.03
0,59,1639.7,45,1.28,5.97,0.002,0,1.64
0,60,3115.6,11,0.06,0.07,0.0,0,0.27
0,61,2733.7,1,0.06,0.2,0.0,0,0.14
0,62,1223.3,11,0.11,0.89,0.011,0,0.15
0,63,2210.4,1,0.01,0.11,0.0,0,0.06
0,64,1412.2,119,1.02,5.05,0.005,0,1.43
0,65,1810.9,23,0.68,1.58,0.002,0,0.99
0,66,3409.4,10,0.1,0.03,0.0,0,0.17
0,67,511.5,504,3.93,33.43,0.049,1,6.19
0,68,2811.7,15,0.17,0.16,0.0,0,0.22
0,69,2527.7,15,0.03,0.11,0.0,0,0.18
0,70,2103.7,14,0.08,0.6,0.001,0,0.45
0,71,1857.2,26,0.5,3.84,0.001,0,1.71
0,72,2866.7,38,0.36,0.12,0.0,0,0.52
0,73,1185.1,316,7.41,15.78,0.015,0,12.1
0,74,3140.6,5,0.04,0.01,0.0,0,0.06
0,75,2896.6,14,0.15,0.38,0.0,0,0.52
0,76,1634.3,51,0.38,1.03,0.002,0,0.7
0,77,2956.7,0,0.06,0.11,0.0,0,0.07
0,78,1224.8,139,0.28,1.71,0.015,0,1.45
0,79,3263.4,1,0.01,0.01,0.0,0,0.03
0,80,2591.0,2,0.09,0.23,0.0,0,0.13
0,81,3873.1,12,0.09,0.02,0.0,0,0.18
0,82,3470.9,26,0.09,0.12,0.0,0,0.81
0,83,2698.5,11,0.18,0.1,0.0,0,0.2
0,84,1457.3,4,0.08,1.44,0.002,0,0.24
0,85,3272.6,8,0.21,0.05,0.0,0,0.24
0,86,798.5,125,1.17,21.99,0.038,0,3.56
0,87,2516.8,14,0.11,0.33,0.0,0,0.23
0,88,2729.3,5,0.08,0.12,0.0,0,0.11
0,89,2025.4,68,0.34,1.05,0.001,0,1.13
0,90,2150.0,30,0.19,0.77,0.0,0,0.35
0,91,3342.6,53,0.13,0.09,0.0,0,0.54
0,92,1797.8,13,0.35,0.38,0.002,0,0.4
0,93,1280.4,14,0.16,2.82,0.004,0,0.9
0,94,3089.0,7,0.07,0.04,0.0,0,0.1
0,95,3023.2,5,0.01,0.01,0.0,0,0.07
0,96,2954.6,4,0.06,0.09,0.0,0,0.28
0,97,2922.2,17,0.15,0.16,0.0,0,0.22
0,98,1052.7,13,0.39,4.43,0.017,0,1.27
0,99,2693.2,15,0.05,0.19,0.0,0,0.2
0,100,2383.4,4,0.05,0.1,0.0,0,0.07
0,101,3570.5,5,0.07,0.01,0.0,0,0.23
0,102,3122.8,14,0.03,0.03,0.0,0,0.19
0,103,1721.9,12,0.12,0.77,0.002,0,0.14
0,104,1975.9,13,0.16,0.65,0.001,0,0.19
0,105,1426.1,13,0.33,2.4,0.004,0,0.53
0,106,2397.0,434,2.61,1.99,0.0,0,5.48
0,107,602.8,96,0.81,11.48,0.001,0,1.32
0,108,1141.8,45,0.59,4.23,0.008,0,0.98
0,109,1221.2,62,0.54,1.71,0.007,0,0.77
0,110,2029.5,4,0.03,0.09,0.001,0,0.1
0,111,3378.2,14,0.05,0.04,0.0,0,0.15
0,112,2358.3,14,0.21,0.22,0.0,0,0.22
0,113,833.5,1535,16.69,55.91,0.024,0,18.55
0,114,919.3,33,1.45,3.6,0.027,0,2.17
0,115,1596.1,53,0.53,2.19,0.001,0,0.72
0,116,3384.2,17,0.18,0.04,0.0,0,0.21
0,117,1881.6,8,0.13,0.28,0.001,0,0.14
0,118,1906.8,96,0.55,3.79,0.002,0,1.07
0,119,2443.5,105,0.19,0.38,0.0,0,1.06
0,120,1708.6,55,0.54,1.46,0.001,0,0.61
0,121,1177.8,20,0.4,1.38,0.017,0,0.49
0,122,1451.6,331,0.67,7.31,0.007,0,3.69
0,123,1951.2,10,0.06,0.19,0.001,0,0.19
0,124,2605.0,17,0.36,0.22,0.0,0,0.52
0,125,713.7,527,7.21,66.84,0.02,1,22.07
0,126,1784.5,5,0.14,0.44,0.002,0,0.16
0,127,3563.1,10,0.03,0.03,0.0,0,0.11
0,128,3575.5,21,0.22,0.04,0.0,0,0.36
0,129,2276.1,4,0.26,0.31,0.0,0,0.28
0,130,2854.6,6,0.04,0.03,0.0,0,0.07
0,131,3796.8,7,0.23,0.01,0.0,0,0.29
0,132,777.5,23,0.55,4.82,0.013,0,0.55
0,133,3465.3,39,0.46,0.07,0.0,0,0.55
0,134,3116.5,6,0.05,0.04,0.0,0,0.09
0,135,2314.3,119,1.18,1.1,0.0,0,1.55
0,136,1602.2,4,0.04,0.63,0.001,0,0.19
0,137,2967.7,3,0.1,0.04,0.0,0,0.16
0,138,2520.9,13,0.47,0.62,0.0,0,0.59
0,139,1443.6,17,0.2,0.57,0.002,0,0.22
0,140,2254.8,24,0.27,0.4,0.0,0,0.47
0,141,2720.4,22,0.12,0.64,0.0,0,0.77
0,142,3024.1,4,0.03,0.01,0.0,0,0.05
0,143,2941.5,15,0.03,0.12,0.0,0,0.16
0,144,1128.9,39,0.44,4.31,0.016,0,0.93
0,145,1622.8,62,0.4,3.44,0.002,0,0.71
0,146,2766.7,7,0.09,0.05,0.0,0,0.1
0,147,1867.8,2,0.12,0.32,0.0,0,0.14
0,148,1947.1,6,0.07,0.96,0.001,0,0.46
0,149,2896.5,7,0.16,0.28,0.0,0,0.34
0,150,2167.4,18,0.1,0.57,0.0,0,0.37
0,151,1383.0,57,0.17,2.83,0.007,0,0.91
0,152,3876.6,3,0.04,0.01,0.0,0,0.04
0,153,2066.9,11,0.2,0.56,0.001,0,0.56
0,154,2967.2,32,0.32,0.2,0.0,0,0.33
0,155,2559.3,7,0.08,0.08,0.0,0,0.09
0,156,1545.6,163,1.36,13.78,0.005,0,2.98
0,157,1794.4,60,0.76,1.64,0.001,0,0.86
0,158,1880.7,24,0.08,0.32,0.002,0,0.28
0,159,2717.1,31,0.35,0.24,0.0,0,0.55
0,160,2062.8,2,0.18,0.15,0.001,0,0.2
0,161,2216.2,21,0.43,0.65,0.0,0,0.47
0,162,3072.3,47,0.68,0.21,0.0,0,0.8
0,163,3743.4,1,0.02,0.01,0.0,0,0.04
0,164,1749.9,126,0.49,1.23,0.001,0,2.03
0,165,2648.8,17,0.13,0.38,0.0,0,0.58
0,166,3261.0,49,0.08,0.22,0.0,0,0.62
0,167,840.8,569,10.69,51.36,0.014,0,24.43
0,168,2302.0,14,0.13,0.37,0.0,0,0.23
0,169,2772.9,3,0.06,0.07,0.0,0,0.13
0,170,2498.7,5,0.03,0.11,0.0,0,0.07
0,171,2990.0,7,0.09,0.03,0.0,0,0.11
0,172,3261.8,8,0.15,0.07,0.0,0,0.18
0,173,848.9,143,2.01,10.65,0.011,0,2.62
0,174,2752.0,21,0.13,0.18,0.0,0,0.26
0,175,1412.4,95,1.04,2.44,0.008,0,1.31
0,176,2631.1,11,0.13,0.14,0.0,0,0.39
0,177,1989.6,39,0.99,2.64,0.001,0,2.18
0,178,2989.5,1,0.06,0.06,0.0,0,0.12
0,179,1929.6,486,4.41,4.35,0.001,0,5.7
0,180,2414.0,76,0.37,0.34,0.0,0,0.83
0,181,3048.1,1,0.03,0.02,0.0,0,0.06
0,182,1102.7,45,0.39,0.75,0.006,0,0.54
0,183,1341.2,54,0.55,2.86,0.005,0,1.47
0,184,3576.9,14,0.17,0.02,0.0,0,0.17
0,185,3900.0,9,0.25,0.02,0.0,0,0.33
0,186,474.3,378,0.43,26.41,0.136,0,3.87
0,187,2039.9,28,0.27,0.57,0.0,0,0.33
0,188,1262.6,41,0.27,1.38,0.006,0,0.59
0,189,2106.8,1,0.06,0.08,0.001,0,0.07
0,190,2568.4,8,0.05,0.07,0.0,0,0.15
0,191,631.2,321,3.11,13.47,0.07,0,5.67
0,192,817.7,47,0.47,12.42,0.037,0,1.16
0,193,2372.4,1,0.03,0.06,0.0,0,0.09
0,194,3149.9,3,0.07,0.07,0.0,0,0.1
0,195,3034.5,5,0.2,0.11,0.0,0,0.25
0,196,1696.2,2,0.09,0.37,0.001,0,0.15
0,197,1535.6,5,0.07,3.4,0.003,0,0.48
0,198,2548.3,8,0.04,0.3,0.0,0,0.14
0,199,3404.4,7,0.08,0.02,0.0,0,0.1
1,2,2857.1,25,0.5,0.18,0.0,0,0.84
1,3,1124.1,471,3.74,10.89,0.009,0,5.75
1,4,1973.7,1,0.06,0.34,0.001,0,0.08
1,5,1204.8,3,0.02,1.23,0.008,0,0.19
1,6,2397.3,17,0.23,0.79,0.0,0,0.62
1,7,1376.3,45,0.47,2.87,0.001,0,0.69
1,8,3263.2,1,0.01,0.02,0.0,0,0.04
1,9,1387.7,25,0.18,2.0,0.009,0,0.31
1,10,1561.6,32,0.08,0.6,0.002,0,0.38
1,11,1335.3,19,0.03,0.7,0.001,0,0.29
1,12,2455.9,5,0.07,0.12,0.0,0,0.13
1,13,3260.7,0,0.01,0.01,0.0,0,0.02
1,14,3647.2,0,0.01,0.0,0.0,0,0.02
1,15,1231.1,5,0.11,1.36,0.007,0,0.12
1,16,1287.1,20,0.41,0.68,0.004,0,0.46
1,17,3040.2,37,0.09,0.06,0.0,0,0.54
1,18,2127.2,1,0.03,0.11,0.001,0,0.05
1,19,2700.5,0,0.01,0.02,0.0,0,0.02
1,20,2605.7,38,0.54,0.35,0.0,0,0.8
1,21,1110.1,11,0.24,1.53,0.01,0,0.33
1,22,2961.2,3,0.03,0.04,0.0,0,0.06
1,23,1584.1,15,0.02,0.31,0.001,0,0.19
1,24,1115.1,24,0.26,0.9,0.021,0,0.53
1,25,1819.5,15,0.15,0.53,0.001,0,0.15
1,26,3115.6,0,0.01,0.01,0.0,0,0.02
1,27,1660.8,14,0.33,1.12,0.002,0,0.96
1,28,3610.7,2,0.03,0.01,0.0,0,0.03
1,29,1391.5,4,0.08,0.49,0.007,0,0.09
1,30,2014.5,6,0.08,0.12,0.0,0,0.15
1,31,1064.0,310,1.33,20.23,0.022,0,5.54
1,32,2105.2,8,0.02,0.25,0.0,0,0.17
1,33,1061.3,9,0.14,0.75,0.002,0,0.22
1,34,3286.8,10,0.2,0.05,0.0,0,0.21
1,35,1669.2,2,0.05,0.25,0.003,0,0.15
1,36,2354.6,8,0.05,0.22,0.0,0,0.1
1,37,1768.5,0,0.05,0.06,0.001,0,0.06
1,38,1864.5,7,0.08,0.09,0.001,0,0.08
1,39,3473.5,3,0.05,0.02,0.0,0,0.07
1,40,4355.3,6,0.16,0.01,0.0,0,0.16
